source_id,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,phot_bp_rp_excess_factor,gcns_prob,dist_50
68716594814508288,15.338427,16.736992,14.173279,1.4310415,1.0,0.07438218
67953499384852096,7.9585357,8.179559,7.574482,1.1912045,1.0,0.09406556
68052867748594432,15.100298,16.773026,13.782147,1.5727066,0.98,0.07407764
68068398350322432,15.076184,16.611053,13.876508,1.4472246,1.0,0.08838068
68067264479299968,13.80616,14.475006,12.461477,1.8440732,0.89,0.09184062
62476076054781568,10.140456,10.53837,9.57516,1.2111783,1.0,0.091069266
110907329874767744,16.318943,18.041521,15.062342,1.4876205,1.0,0.08355711
62855132687454080,15.474858,17.211714,14.212866,1.4923493,1.0,0.07595649
110912105878379520,11.3322735,12.16442,10.433459,1.300232,1.0,0.0745536
111007247993800064,14.88836,16.44077,13.681246,1.4531327,1.0,0.059594702
111007282353536128,8.79412,9.143973,8.2727785,1.2058213,1.0,0.059432253
110942170649436672,14.23169,15.924418,12.98486,1.4797598,1.0,0.035220142
110943373238044928,19.449842,21.744467,17.893538,1.8525782,1.0,0.07907096
111009133482312960,20.020264,20.481556,19.336487,1.2643636,0.974,0.093965456
111018135733912960,17.676071,19.16226,15.980239,2.1914833,0.498,0.10875111
62876298284098688,13.911957,,,,0.546,0.103376806
62876298286275072,11.398084,11.987507,10.501573,1.3826102,1.0,0.0811555
62884540326096896,17.555838,18.192524,16.797085,1.2501233,1.0,0.039802067
62964637171600000,18.2668,20.969103,16.7529,1.7575468,1.0,0.052682165
62969997292797568,10.409126,10.800841,9.847886,1.2114152,1.0,0.098000236
62969997292797952,,,16.033365,,0.878,0.0946748
62977144118041088,17.353294,19.565224,15.9877,1.5751961,1.0,0.064638585
62909180556014080,12.118919,12.900791,11.254272,1.2863622,1.0,0.08246626
111082667618989184,13.93502,15.074278,12.867766,1.3788583,1.0,0.096978776
63017031477487744,19.08022,21.10074,17.592705,1.7693875,0.992,0.07982287
111088852371956992,15.803572,17.47343,14.561156,1.477621,1.0,0.082369566
69038300748524160,18.175564,20.404976,16.723703,1.6961291,1.0,0.09883111
111218079348466432,14.161606,15.440782,12.96232,1.49361,1.0,0.09893561
111326106365278976,17.621058,19.632664,16.300016,1.5348268,1.0,0.087740675
111249548571069568,12.805067,13.436645,11.5672865,1.7215631,1.0,0.09960585
111344037851854464,20.145569,21.401646,18.587463,1.9959404,0.972,0.117358096
111169838275122304,16.03886,17.82829,14.764808,1.5004606,1.0,0.076157644
111379432679196672,10.901909,12.024303,9.842851,1.374375,1.0,0.021709185
111388808591602688,14.596698,15.957329,13.230396,1.6887218,0.918,0.08531889
111106135320354560,13.262367,14.646156,12.10744,1.4222496,1.0,0.047461096
111089848804368896,15.132046,16.17447,13.622568,1.9681028,1.0,0.09542446
69057787016249728,14.854202,16.663027,13.581901,1.4957963,1.0,0.03826074
117376237816045312,14.225835,15.529272,13.097027,1.4088359,1.0,0.0740765
117151555190807936,17.79911,19.863214,16.461287,1.5515962,1.0,0.099686466
117218560976465920,11.386004,11.949993,10.667423,1.2473077,1.0,0.094322346
117218560975119872,16.478447,,,,0.504,0.09881214
