GaiaEDR3,Gmag,BPmag,WDprob,Dist50,Abs_V,BV_Color
4.91364E+18,19.7126,20.3369,0.999,0.09555,14.81144654,0.6243
4.92788E+18,17.745,17.8436,0.994,0.09282,12.90679218,0.0986
4.92866E+18,18.6636,18.823,0.999,0.09673,13.73579406,0.1594
2.79088E+18,17.4751,17.5799,1,0.06428,13.43472066,0.1048
4.68745E+18,17.6276,18.0267,0.845,0.02875,15.33441075,0.3991
2.47559E+18,19.9375,20.4373,0.901,0.10172,14.90046824,0.4998
2.35789E+18,19.7083,20.2095,0.985,0.09037,14.92817859,0.5012
3.20973E+17,20.2287,20.5423,0.939,0.07771,15.77631546,0.3136
2.35849E+18,18.9143,19.4283,0.999,0.07229,14.61890888,0.514
2.35779E+18,17.6378,17.8456,1,0.05574,13.90696518,0.2078
2.56378E+18,17.9971,18.2413,0.979,0.06625,13.89117059,0.2442
2.78428E+18,18.8744,19.2033,0.999,0.08443,14.24191605,0.3289
2.35827E+18,16.8441,16.8865,1,0.07139,12.57591309,0.0424
4.70496E+18,19.3611,19.1397,0.916,0.09683,14.43105034,-0.2214
5.03383E+18,18.5616,18.7224,1,0.10194,13.51987685,0.1608
2.35478E+18,18.7033,18.9958,0.999,0.08413,14.07854556,0.2925
4.98962E+18,20.3736,20.979,1,0.11213,15.12499089,0.6054
4.92782E+18,18.7131,19.0639,0.999,0.09099,13.91813167,0.3508
4.70583E+18,19.4453,19.8203,0.999,0.09978,14.4500825,0.375
2.35153E+18,19.8665,20.2572,0.999,0.11042,14.65126129,0.3907
3.73152E+17,19.8698,20.1849,0.593,0.09579,14.96319913,0.3151
4.91359E+18,15.7742,15.686,1,0.09702,10.83989365,-0.0882
4.98325E+18,19.4469,19.9363,0.99,0.08505,14.79852841,0.4894
2.78716E+18,18.2623,18.4091,0.996,0.07913,13.77059417,0.1468
4.11733E+17,19.5288,20.0567,0.99,0.07821,15.06248857,0.5279
2.47579E+18,20.3107,20.7432,0.78,0.11339,15.03782622,0.4325
4.98831E+18,20.6489,21.017,0.902,0.10345,15.57524752,0.3681
5.0411E+18,20.1416,20.7039,0.947,0.11088,14.91733391,0.5623
5.0411E+18,20.4493,20.9661,0.989,0.10052,15.4380376,0.5168
