source_id,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,gcns_prob,dist_50
1453617353321488896,16.72072,18.360464,15.222698,1.0,0.054470155
1259765898495943552,19.579962,,,0.462,0.106716156
1478714225919763328,18.489664,18.508696,17.781689,0.974,0.08388779
1479297757353952640,19.511337,19.824942,19.048399,1.0,0.08987057
1441520393248858240,19.2804,19.619331,18.805332,1.0,0.083968244
3746966822362751872,6.9501657,7.46734,6.2739496,1.0,0.095357984
3746694865033366016,10.192912,10.588718,9.620745,1.0,0.07919153
1248716906149280768,15.024203,16.458017,13.845439,1.0,0.09632814
1248704124326659072,16.317524,18.110334,15.044732,1.0,0.08015542
1248640520155122176,16.690378,18.67188,15.373496,1.0,0.07423263
1248679831991674112,14.892066,16.283413,13.732926,1.0,0.10026548
1248660968495332352,16.384073,18.0749,15.132219,1.0,0.08693931
1248670005106524032,14.816329,16.21856,13.650823,1.0,0.08410614
1247937833441517952,9.973157,10.383783,9.394561,1.0,0.07576322
3944594622886421120,18.592098,20.831593,17.11931,1.0,0.09126459
3944615994643632128,17.041582,19.0711,15.713546,1.0,0.07691768
3944615994643632256,15.288427,17.023323,14.031393,1.0,0.07760745
3944621251683632896,9.595692,9.964433,9.057391,1.0,0.07612181
3944621251683633024,16.482286,16.523113,16.445175,1.0,0.076385915
3940452384627662208,17.13355,18.915186,15.824704,1.0,0.10189212
3940469014740656128,14.919248,16.27868,13.771578,1.0,0.092287
3940491795247209088,16.126024,17.75228,14.895487,1.0,0.08390179
3939351567329495808,16.507996,18.209896,15.261726,1.0,0.09624146
3940143937255995008,16.2617,17.940779,15.020055,1.0,0.0796185
3939362253207357568,18.297606,20.78682,16.794436,1.0,0.0976112
3940187780282116608,15.267355,16.830067,14.055705,1.0,0.09843533
3940215439871503616,10.48307,11.231287,9.534868,0.994,0.057375528
3940194377351933056,9.958134,10.330798,9.414574,1.0,0.08464201
3940211969537944064,14.889269,16.399618,13.6900425,1.0,0.057235733
3940510035972664832,20.060564,21.700918,18.518072,0.998,0.07259339
3940138920733675136,20.578558,21.570505,18.91897,0.976,0.11110673
3940329273683912448,18.414652,21.26578,16.853392,1.0,0.03871236
3940314155400028416,14.637247,15.877901,13.513348,1.0,0.092482224
3943562215827589120,16.004002,17.916962,14.706615,1.0,0.052578706
3943765758627585536,20.536886,21.157318,20.16815,0.976,0.11589112
3943567296773826816,15.166696,16.430645,14.05464,1.0,0.0878059
3943493461991184640,10.106312,10.497151,9.550928,1.0,0.08754332
3943569981128506624,12.732574,13.676586,11.771452,1.0,0.08246891
3943521224659793792,14.286225,15.785723,13.090915,1.0,0.060809728
3943856781864607360,12.394595,13.206708,11.507431,1.0,0.08251956
3943853895646618624,10.29544,10.693012,9.728038,1.0,0.089436114
3943853826927170560,11.1432295,11.679479,10.456055,1.0,0.08950804
3943883067064464896,12.006025,12.657828,11.227894,1.0,0.07696349
3943862348142262400,13.528566,14.580498,12.506473,1.0,0.089966446
3943959414403059200,13.647722,15.070841,12.478917,1.0,0.043369733
3943680378967946112,11.066587,11.905625,10.169233,1.0,0.044761807
3943696832992228096,12.610534,13.553847,11.165372,1.0,0.045065485
3943682195738836992,18.847164,21.0247,17.364416,1.0,0.10008942
3943897463795130624,13.128531,13.899652,11.498487,0.998,0.060624875
3943916705248298752,14.694028,16.190025,13.499473,1.0,0.09897568
3943927627349385344,17.729593,20.510597,16.235243,1.0,0.067044206
3940491073692738304,9.502875,9.820091,9.015179,1.0,0.08758219
3940585219375803776,16.117624,17.71018,14.8967705,1.0,0.0673727
3940587693276969344,13.7824335,15.061681,12.657908,1.0,0.090558864
3940587693276969472,13.203878,14.212041,12.205836,1.0,0.09178747
3940583222215216256,17.17009,19.368015,15.775955,1.0,0.0689418
3940332881457394048,15.5232725,17.435492,14.216385,1.0,0.05269593
3940555154604824704,15.76285,17.461414,14.519966,1.0,0.06684459
1442367287783919744,17.51113,19.57124,16.147165,1.0,0.08704359
3943635161552316928,14.098208,15.746956,12.86131,1.0,0.047060758
3943641002707867136,16.353212,18.110306,15.086332,1.0,0.09488891
3943650619138622848,16.691175,16.926226,16.292234,1.0,0.03176572
3940647273062542080,19.141386,21.299004,17.624983,1.0,0.07595797
3943657083065757440,12.23249,12.989182,11.384204,1.0,0.08628762
1445673965925317632,18.025545,20.88868,16.547075,1.0,0.05986596
1445679880096053760,17.432674,19.356812,16.13395,1.0,0.09346376
1442583513617429888,17.973652,20.166565,16.585785,1.0,0.09411453
1442686867711217536,20.718632,21.751032,19.12667,0.634,0.11743565
3957028793727049600,15.154326,16.646097,13.967033,1.0,0.07129012
3944898500412647168,17.2159,19.145256,15.904592,1.0,0.09509368
3944898500412647296,16.203617,18.122572,14.898096,1.0,0.09592531
3944971102539773056,13.896272,15.16766,12.782097,1.0,0.057062253
3944972030252710400,14.405217,15.810121,13.246691,1.0,0.030023854
3944720791845648896,16.749037,18.549011,15.473783,1.0,0.06826041
3944713129624045184,15.357625,16.860878,14.161625,1.0,0.094384566
3944820396431903616,18.841202,21.09775,17.365208,1.0,0.09521475
3957017248854958080,12.1798,12.818071,11.410767,1.0,0.08818483
3944990137834895104,11.074668,11.636566,10.366307,1.0,0.083494335
3945089162600813056,8.971474,9.391521,8.382818,1.0,0.048492383
3957031061469784192,16.15256,18.23207,14.797902,1.0,0.046349052
3957031061469784320,14.285045,15.846904,13.071191,1.0,0.04624363
3957043156097659264,12.59291,13.533842,11.62818,1.0,0.081694886
3957137988975049088,16.54075,19.11078,15.089391,1.0,0.031606168
3945090640069565056,13.63637,14.942888,12.453278,1.0,0.09433921
3945018965655377920,14.963077,16.562012,13.741651,1.0,0.0632933
3945052294601636608,17.015524,18.915163,15.718788,1.0,0.07347834
3945118265299248128,7.9785547,8.320502,7.4622855,1.0,0.037380826
3945118643256370688,8.345107,8.7268505,7.7891135,1.0,0.03744941
3945067928281719424,19.801855,21.164005,18.285723,1.0,0.103761226
3945060918895960320,8.0043745,8.291267,7.549833,1.0,0.056748684
3957399397865001344,16.748777,18.582565,15.467005,1.0,0.08323141
3957418501879501056,17.024065,19.081757,15.694144,1.0,0.075286925
3957527181731919360,8.932757,9.361463,8.337884,1.0,0.04717529
3957129639558654720,14.192887,15.903455,12.943856,1.0,0.036125146
3957213065003343104,16.048717,17.841295,14.773607,1.0,0.07138565
3957176746759938944,16.976614,18.821932,15.694519,1.0,0.10049951
3957175711672336512,19.762688,21.365704,18.240467,1.0,0.09194024
3957441316745837056,13.543963,14.61526,12.460398,1.0,0.09043007
1459454007717566464,18.835642,20.946623,17.346756,1.0,0.08686486
1459518299083767808,17.320042,19.383947,15.995547,1.0,0.08618114
1459451228874479360,16.268942,18.036718,14.977401,1.0,0.09272441
1459461983472594304,13.355941,14.42784,12.326603,1.0,0.08973741
1459294445388149248,16.290882,17.913836,15.063255,1.0,0.08813595
1459276440885265920,14.260445,15.6625,13.100377,1.0,0.058069326
1459291937127249408,13.279765,14.629565,12.134974,1.0,0.0756376
1459231463987771904,12.658121,13.437408,11.797032,1.0,0.10008108
3944011916083273600,16.724604,18.330988,15.5131,1.0,0.08746059
3944016515992968064,18.116825,20.515192,16.664064,1.0,0.07762441
3944773430964794112,10.314177,10.718014,9.741181,1.0,0.08447573
3944024590531520512,17.999866,20.049753,16.647266,1.0,0.09621859
3943742776252841728,14.711222,,,1.0,0.08728917
3943742776252841600,13.315786,14.282262,12.192683,1.0,0.08704617
3944000435635472000,16.141623,17.742163,14.914479,1.0,0.09931671
3944025900496795264,14.204211,15.146057,13.242046,1.0,0.07992613
3944830674288852352,19.375656,20.001863,18.759243,1.0,0.058721527
3944792977360173952,17.293077,19.270699,15.945907,1.0,0.09208813
1446791177114065920,15.13098,16.59464,13.950757,1.0,0.08576424
1446061067033371264,12.921474,14.094813,11.837667,1.0,0.044013936
1446061067033371392,14.523581,15.939505,13.307603,1.0,0.044151332
1446050690392054016,20.740213,21.110817,19.21662,0.984,0.06671162
1445740181436862464,8.935616,9.304463,8.392682,1.0,0.05093721
1445764645570626688,13.645653,15.21341,12.433105,1.0,0.04735242
1445696647648419840,14.147415,15.296293,13.0844965,1.0,0.075960115
1442678213352200960,8.139982,8.409694,7.70283,1.0,0.06437675
1445722516236089600,20.32643,21.391092,18.778744,0.982,0.10957618
1445777118155660544,9.429991,9.778049,8.9121475,1.0,0.07772479
1445707711484204800,15.45463,17.166563,14.125605,1.0,0.07638326
1445991419843715968,12.353587,13.653204,11.221744,1.0,0.03538496
1445977882106817024,10.806531,11.907619,9.762888,1.0,0.027805233
1445975236406975616,15.83391,17.554941,14.579801,1.0,0.06393351
1445976026680958464,16.161625,17.782015,14.942536,1.0,0.08101629
1446056943864089856,18.83462,21.319817,17.26064,1.0,0.044810854
1445874699812483840,18.758404,20.648561,17.329235,1.0,0.10430253
1445812783563990400,16.491777,17.99077,15.3077965,1.0,0.09413646
1445824397155558912,15.165522,16.573877,13.99785,1.0,0.084163725
1445923765518879488,16.147724,17.710346,14.932207,1.0,0.0932869
1445909742451436672,17.030043,18.149515,15.615449,1.0,0.10104711
1447084815437463552,18.793587,,,0.656,0.07829649
1447084815438505216,17.184359,19.247488,15.6673355,1.0,0.07734322
1447105426985786368,18.496458,20.839098,17.030737,1.0,0.07171763
1446828045112763520,17.718391,19.746675,16.420084,1.0,0.09349825
1447012866145900032,16.116182,17.618391,14.917957,1.0,0.09873028
1459312621689611904,15.833276,17.514484,14.594273,1.0,0.09402455
1459307570808093056,13.149705,14.327303,12.07371,1.0,0.06346451
1447300972552225024,14.0086565,15.94187,12.704741,1.0,0.02457498
1447302308286615680,20.540363,21.114105,18.93149,0.974,0.11497484
1447018462487756672,15.665488,17.127245,14.482222,1.0,0.0944598
1447035882875220736,20.280674,21.576332,18.720108,0.974,0.05699674
1447311349193560448,15.9541235,17.42076,14.406642,0.982,0.081672475
1447264345071167232,17.281908,19.663773,15.850419,1.0,0.076273486
1447242835874983296,12.806509,13.649115,11.907866,1.0,0.09292554
1446175278803970304,19.850225,20.221642,19.3406,1.0,0.10929653
1446176614537791232,13.115288,14.117179,12.11708,1.0,0.08061209
1446109273746268544,13.579344,15.046474,12.394529,1.0,0.05012418
1446976650981724800,17.186918,19.619362,15.807648,1.0,0.063466005
1446212215522407552,11.539571,12.076544,10.848558,1.0,0.08986704
1446120234502356736,20.347479,20.844803,19.76971,0.998,0.08903999
1446501318361282688,17.45919,19.981977,16.00676,1.0,0.05709089
1446199468059494912,14.155146,15.392079,12.981272,1.0,0.08936894
1446199468059495168,10.697359,11.1661215,10.067126,1.0,0.087881565
1446981633143789696,15.85392,17.601038,14.59079,1.0,0.072218955
1446969916473264384,12.80278,14.111166,11.660381,1.0,0.04236331
1446593642978234880,8.363214,8.705926,7.8489,1.0,0.06533309
1447345365334182016,16.816698,18.49168,15.578949,1.0,0.080882125
1447348423350897536,14.300827,15.827966,13.100309,1.0,0.070893236
1447385463148838656,14.946212,16.594528,13.713198,1.0,0.060843427
3939189904760334336,16.477499,18.218904,15.223829,1.0,0.09987798
3939159084075075200,14.416316,15.852705,13.241618,1.0,0.060891304
3939211860633187072,12.049018,12.835417,11.180503,1.0,0.080134556
3940272580116663168,17.039734,19.09499,15.72344,1.0,0.07948791
1441527093397357952,14.668712,16.002594,13.531327,1.0,0.085786834
1441459056820226688,9.577417,10.012344,8.9719715,1.0,0.061800897
